"date","temp","temp_min","temp_max"
2010-01-01,0,-1,1
2010-01-02,1,-1,3
2010-01-03,2,0,4
2010-01-04,-2,-5,1
2010-01-05,-2.5,-5,0
2010-01-06,-4.5,-6,-3
2010-01-07,-4,-5,-3
2010-01-08,-5.5,-8,-3
2010-01-09,-3.5,-5,-2
2010-01-10,-1,-2,0
2010-01-11,-2.5,-5,0
2010-01-12,-2,-3,-1
2010-01-13,1.5,0,3
2010-01-14,2,1,3
2010-01-15,2.5,0,5
2010-01-16,3.5,1,6
2010-01-17,7,5,9
2010-01-18,5,2,8
2010-01-19,3,1,5
2010-01-20,1.5,-1,4
2010-01-21,4,2,6
2010-01-22,3.5,1,6
2010-01-23,3,2,4
2010-01-24,3.5,2,5
2010-01-25,3.5,2,5
2010-01-26,-0.5,-2,1
2010-01-27,-1.5,-5,2
2010-01-28,4.5,3,6
2010-01-29,3.5,3,4
2010-01-30,0.5,-2,3
2010-01-31,0.5,-2,3
2010-02-01,1.5,-1,4
2010-02-02,3.5,1,6
2010-02-03,7.5,6,9
2010-02-04,5.5,3,8
2010-02-05,7.5,6,9
2010-02-06,4,3,5
2010-02-07,4,3,5
2010-02-08,3,2,4
2010-02-09,-0.5,-2,1
2010-02-10,-0.5,-3,2
2010-02-11,-2.5,-4,-1
2010-02-12,-3,-6,0
2010-02-13,-4,-6,-2
2010-02-14,-3,-7,1
2010-02-15,-1.5,-4,1
2010-02-16,-0.5,-5,4
2010-02-17,2,-1,5
2010-02-18,2.5,-1,6
2010-02-19,4,2,6
2010-02-20,2.5,-1,6
2010-02-21,3.5,0,7
2010-02-22,8.5,6,11
2010-02-23,10.5,8,13
2010-02-24,8.5,6,11
2010-02-25,8.5,7,10
2010-02-26,7,5,9
2010-02-27,7,4,10
2010-02-28,9,6,12
2010-03-01,5.5,1,10
2010-03-02,7.5,4,11
2010-03-03,4.5,1,8
2010-03-04,3.5,1,6
2010-03-05,2.5,-2,7
2010-03-06,4,1,7
2010-03-07,0.5,-3,4
2010-03-08,1.5,-3,6
2010-03-09,0,-4,4
2010-03-10,2,-3,7
2010-03-11,1.5,-3,6
2010-03-12,2.5,-3,8
2010-03-13,4,1,7
2010-03-14,3,-1,7
2010-03-15,7,2,12
2010-03-16,8,2,14
2010-03-17,9.5,4,15
2010-03-18,11,6,16
2010-03-19,13.5,9,18
2010-03-20,13.5,11,16
2010-03-21,10,8,12
2010-03-22,10.5,5,16
2010-03-23,11,5,17
2010-03-24,13,8,18
2010-03-25,12.5,9,16
2010-03-26,9,7,11
2010-03-27,9.5,7,12
2010-03-28,10,8,12
2010-03-29,13,10,16
2010-03-30,9.5,8,11
2010-03-31,6,4,8
2010-04-01,6,2,10
2010-04-02,6,4,8
2010-04-03,7,4,10
2010-04-04,8,6,10
2010-04-05,7.5,2,13
2010-04-06,11,5,17
2010-04-07,13,9,17
2010-04-08,10.5,8,13
2010-04-09,11,5,17
2010-04-10,10.5,6,15
2010-04-11,7.5,3,12
2010-04-12,8,3,13
2010-04-13,10,7,13
2010-04-14,10.5,6,15
2010-04-15,9.5,5,14
2010-04-16,9.5,5,14
2010-04-17,10.5,4,17
2010-04-18,14,7,21
2010-04-19,14,6,22
2010-04-20,12.5,8,17
2010-04-21,10.5,5,16
2010-04-22,9.5,4,15
2010-04-23,12.5,5,20
2010-04-24,18.5,10,27
2010-04-25,16,11,21
2010-04-26,13,9,17
2010-04-27,15,9,21
2010-04-28,17.5,11,24
2010-04-29,20,15,25
2010-04-30,13,11,15
2010-05-01,14,11,17
2010-05-02,11.5,9,14
2010-05-03,7,5,9
2010-05-04,8.5,5,12
2010-05-05,8.5,5,12
2010-05-06,10,5,15
2010-05-07,8.5,4,13
2010-05-08,11.5,7,16
2010-05-09,11.5,7,16
2010-05-10,12,7,17
2010-05-11,7,6,8
2010-05-12,7.5,5,10
2010-05-13,8,5,11
2010-05-14,10,7,13
2010-05-15,12,8,16
2010-05-16,12,7,17
2010-05-17,13.5,10,17
2010-05-18,13,9,17
2010-05-19,14.5,9,20
2010-05-20,15.5,10,21
2010-05-21,17.5,12,23
2010-05-22,18,13,23
2010-05-23,20,13,27
2010-05-24,26,21,31
2010-05-25,23.5,18,29
2010-05-26,17.5,15,20
2010-05-27,15,12,18
2010-05-28,15,10,20
2010-05-29,14.5,12,17
2010-05-30,14.5,13,16
2010-05-31,13.5,11,16
2010-06-01,13.5,11,16
2010-06-02,17,12,22
2010-06-03,19,14,24
2010-06-04,24,18,30
2010-06-05,24,19,29
2010-06-06,20.5,18,23
2010-06-07,18,13,23
2010-06-08,18,16,20
2010-06-09,16.5,14,19
2010-06-10,19.5,17,22
2010-06-11,21.5,16,27
2010-06-12,17.5,14,21
2010-06-13,16,12,20
2010-06-14,15.5,13,18
2010-06-15,17,13,21
2010-06-16,15.5,11,20
2010-06-17,15,13,17
2010-06-18,18,13,23
2010-06-19,11.5,9,14
2010-06-20,11.5,9,14
2010-06-21,14,10,18
2010-06-22,17.5,12,23
2010-06-23,21,16,26
2010-06-24,21.5,15,28
2010-06-25,21.5,15,28
2010-06-26,25,20,30
2010-06-27,25,20,30
2010-06-28,24,18,30
2010-06-29,23,18,28
2010-06-30,25,20,30
2010-07-01,26.5,21,32
2010-07-02,28,23,33
2010-07-03,20.5,18,23
2010-07-04,21.5,16,27
2010-07-05,19,15,23
2010-07-06,20,14,26
2010-07-07,25.5,18,33
2010-07-08,29.5,23,36
2010-07-09,26.5,19,34
2010-07-10,23.5,19,28
2010-07-11,26,22,30
2010-07-12,22,19,25
2010-07-13,21.5,18,25
2010-07-14,19,16,22
2010-07-15,19,15,23
2010-07-16,21,17,25
2010-07-17,19,16,22
2010-07-18,20.5,15,26
2010-07-19,24,19,29
2010-07-20,25.5,19,32
2010-07-21,20,18,22
2010-07-22,20,16,24
2010-07-23,19,16,22
2010-07-24,19,14,24
2010-07-25,18,15,21
2010-07-26,19,15,23
2010-07-27,22,17,27
2010-07-28,21,16,26
2010-07-29,18.5,14,23
2010-07-30,19.5,14,25
2010-07-31,22.5,17,28
2010-08-01,19,15,23
2010-08-02,20,15,25
2010-08-03,19,13,25
2010-08-04,18.5,15,22
2010-08-05,16.5,12,21
2010-08-06,18.5,12,25
2010-08-07,20.5,15,26
2010-08-08,19.5,14,25
2010-08-09,21.5,16,27
2010-08-10,21.5,17,26
2010-08-11,20,16,24
2010-08-12,18,13,23
2010-08-13,17.5,12,23
2010-08-14,18,13,23
2010-08-15,15,14,16
2010-08-16,15,13,17
2010-08-17,16,14,18
2010-08-18,18,15,21
2010-08-19,18.5,13,24
2010-08-20,23,17,29
2010-08-21,25,18,32
2010-08-22,25,20,30
2010-08-23,21,19,23
2010-08-24,16,12,20
2010-08-25,18,13,23
2010-08-26,23,18,28
2010-08-27,19.5,18,21
2010-08-28,15.5,11,20
2010-08-29,15,11,19
